CID,status,out_pdbqt,best_kcal_mol,error
49863194,ok,docked_out_exh_32/49863194_dock.pdbqt,,
5329520,ok,docked_out_exh_32/5329520_dock.pdbqt,,
5329506,ok,docked_out_exh_32/5329506_dock.pdbqt,,
5329551,ok,docked_out_exh_32/5329551_dock.pdbqt,,
4565,ok,docked_out_exh_32/4565_dock.pdbqt,,
49863196,ok,docked_out_exh_32/49863196_dock.pdbqt,,
5329558,ok,docked_out_exh_32/5329558_dock.pdbqt,,
123920449,ok,docked_out_exh_32/123920449_dock.pdbqt,,
123658957,ok,docked_out_exh_32/123658957_dock.pdbqt,,
5329559,ok,docked_out_exh_32/5329559_dock.pdbqt,,
5329560,ok,docked_out_exh_32/5329560_dock.pdbqt,,
5329554,ok,docked_out_exh_32/5329554_dock.pdbqt,,
5329557,ok,docked_out_exh_32/5329557_dock.pdbqt,,
76328458,ok,docked_out_exh_32/76328458_dock.pdbqt,,
149664,ok,docked_out_exh_32/149664_dock.pdbqt,,
5329552,ok,docked_out_exh_32/5329552_dock.pdbqt,,
5329556,ok,docked_out_exh_32/5329556_dock.pdbqt,,
5329555,ok,docked_out_exh_32/5329555_dock.pdbqt,,
5329561,ok,docked_out_exh_32/5329561_dock.pdbqt,,
5329573,ok,docked_out_exh_32/5329573_dock.pdbqt,,
123953120,ok,docked_out_exh_32/123953120_dock.pdbqt,,
122199241,ok,docked_out_exh_32/122199241_dock.pdbqt,,
5329565,ok,docked_out_exh_32/5329565_dock.pdbqt,,
5329564,ok,docked_out_exh_32/5329564_dock.pdbqt,,
COLIG_2A6,ok,docked_out_exh_32/COLIG_2A6_dock.pdbqt,,
46927371,ok,docked_out_exh_32/46927371_dock.pdbqt,,
Z1039088436,ok,docked_out_exh_32/Z1039088436_dock.pdbqt,,
Z1013695804,ok,docked_out_exh_32/Z1013695804_dock.pdbqt,,
Z105619926,ok,docked_out_exh_32/Z105619926_dock.pdbqt,,
4566,ok,docked_out_exh_32/4566_dock.pdbqt,,
447655,ok,docked_out_exh_32/447655_dock.pdbqt,,
5329562,ok,docked_out_exh_32/5329562_dock.pdbqt,,
5329572,ok,docked_out_exh_32/5329572_dock.pdbqt,,
Z1192499493,ok,docked_out_exh_32/Z1192499493_dock.pdbqt,,
5329563,ok,docked_out_exh_32/5329563_dock.pdbqt,,
9823200,ok,docked_out_exh_32/9823200_dock.pdbqt,,
46221689,ok,docked_out_exh_32/46221689_dock.pdbqt,,
Z1139464858,ok,docked_out_exh_32/Z1139464858_dock.pdbqt,,
Z1212723352,ok,docked_out_exh_32/Z1212723352_dock.pdbqt,,
Z1139464384,ok,docked_out_exh_32/Z1139464384_dock.pdbqt,,
Z1193314231,ok,docked_out_exh_32/Z1193314231_dock.pdbqt,,
Z1198960055,ok,docked_out_exh_32/Z1198960055_dock.pdbqt,,
Z1102775719,ok,docked_out_exh_32/Z1102775719_dock.pdbqt,,
Z1173513799,ok,docked_out_exh_32/Z1173513799_dock.pdbqt,,
Z1274688759,ok,docked_out_exh_32/Z1274688759_dock.pdbqt,,
Z1159125105,ok,docked_out_exh_32/Z1159125105_dock.pdbqt,,
Z1041113950,ok,docked_out_exh_32/Z1041113950_dock.pdbqt,,
Z1127203562,ok,docked_out_exh_32/Z1127203562_dock.pdbqt,,
118704754,ok,docked_out_exh_32/118704754_dock.pdbqt,,
Z1139476087,ok,docked_out_exh_32/Z1139476087_dock.pdbqt,,
Z1462327436,ok,docked_out_exh_32/Z1462327436_dock.pdbqt,,
Z1228382446,ok,docked_out_exh_32/Z1228382446_dock.pdbqt,,
Z1276127611,ok,docked_out_exh_32/Z1276127611_dock.pdbqt,,
Z1041113928,ok,docked_out_exh_32/Z1041113928_dock.pdbqt,,
Z1511480964,ok,docked_out_exh_32/Z1511480964_dock.pdbqt,,
Z1400966843,ok,docked_out_exh_32/Z1400966843_dock.pdbqt,,
Z1272453975,ok,docked_out_exh_32/Z1272453975_dock.pdbqt,,
Z1526896036,ok,docked_out_exh_32/Z1526896036_dock.pdbqt,,
Z1381816014,ok,docked_out_exh_32/Z1381816014_dock.pdbqt,,
Z1480672898,ok,docked_out_exh_32/Z1480672898_dock.pdbqt,,
