CID,pose_index,docking_score,num_viable_poses,rmsd_pairwise_std,rmsd_to_best_std,MWT,TPSA,logP,HBD,HBA,SMILES
Z1041114218,1,-10.583,5,0.3562496578334516,0.42334988941301993,383.4589999999997,70.07000000000001,3.490000000000002,1,7,[H]c1nc2nc(N3C([H])([H])C([H])([H])N(c4c([H])c([H])c([H])c([H])c4[H])C([H])([H])C3([H])[H])nc(N([H])c3c([H])c([H])c([H])c([H])c3[H])c2nc1[H]
Z57110395,1,-10.546,7,0.437934024225924,0.2648030557963227,340.3619999999998,77.94,3.403900000000001,1,5,[H]c1c([H])c([H])c(-c2nc(N([H])c3c([H])c([H])c(C(=O)[O-])c([H])c3[H])nc3c([H])c([H])c([H])c([H])c23)c([H])c1[H]
Z357964720,1,-10.455,5,0.23885129294434224,0.28232770586798395,376.44099999999986,97.97,3.687800000000002,2,5,[H]c1c([H])c([H])c(-c2nc(N([H])c3c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c3[H])nc3c([H])c([H])c([H])c([H])c23)c([H])c1[H]
Z1677967961,1,-10.308,5,0.17462704681769198,0.08565879387874185,366.39599999999973,79.9,4.042600000000003,2,4,[H]c1c([H])c([H])c(C(=O)N([H])c2nc(C3([H])C([H])([H])C([H])([H])C3([H])[H])n([H])n2)c(OC([H])([H])c2c([H])c([H])c(F)c([H])c2[H])c1[H]
Z94803042,1,-10.201,7,0.392597434932032,0.4738025706336032,340.38599999999974,80.9,4.139300000000002,2,4,[H]c1c([H])c([H])c(-c2nc(N([H])c3c([H])c([H])c(C(=O)N([H])[H])c([H])c3[H])nc3c([H])c([H])c([H])c([H])c23)c([H])c1[H]
Z24682342,1,-10.003,5,0.5011074319144366,0.44411451158586207,364.4739999999997,58.120000000000005,4.087900000000003,1,5,[H]c1c([H])c([H])c(N([H])c2nc(SC([H])([H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])nc3c([H])c([H])c([H])c([H])c23)c([H])c1[H]
Z56974472,1,-9.982,7,0.42617691349173537,0.5030465937987393,374.4919999999996,65.97,4.965940000000003,2,6,[H]c1c([H])c([H])c(C([H])([H])[H])c(N([H])c2nc(N([H])c3c([H])c([H])c([H])c([H])c3C([H])([H])[H])nc(N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])n2)c1[H]
Z107740192,1,-9.921,6,0.23034738609872116,0.2521884824733044,438.52799999999974,95.74000000000001,4.799680000000004,1,6,[H]c1c([H])c(S(=O)(=O)C([H])(C#N)c2nc3c([H])c([H])c([H])c([H])c3nc2N([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1F
Z1576583090,1,-9.894,6,0.32605949003221096,0.33017957248840946,325.3719999999997,84.83,2.7216000000000005,2,6,[H]c1c([H])c(OC2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c(N([H])c2nc3c(c([H])nn3C([H])([H])[H])c(=O)n2[H])c1[H]
Z56854611,1,-9.877,8,0.4181984061918654,0.4330892474344422,320.3959999999997,50.28,3.5184200000000025,1,5,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1N([H])c1nc(N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c2c([H])c([H])c([H])c([H])c2n1
